,date,MA1_9,MA2_9,MA3_9,MA1_12,MA2_12,MA3_12,MOM(1),MOM(2),MOM(3),MOM(6),MOM(9),MOM(12)
279,1987-02-11,1,1,1,1,1,1,0,0,0,0,0,0
280,1987-02-12,1,1,1,1,1,1,1,0,0,0,0,0
281,1987-02-13,1,1,1,1,1,1,0,0,0,0,0,0
282,1987-02-17,1,1,1,1,1,1,0,0,0,0,0,0
283,1987-02-18,1,1,1,1,1,1,0,0,0,0,0,0
284,1987-02-19,1,1,1,1,1,1,1,0,0,0,0,0
285,1987-02-20,1,1,1,1,1,1,1,1,1,0,0,0
286,1987-02-23,1,1,1,1,1,1,0,0,0,0,0,0
287,1987-02-24,1,1,1,1,1,1,0,0,0,0,0,0
288,1987-02-25,1,1,1,1,1,1,0,0,0,0,0,0
289,1987-02-26,1,1,1,1,1,1,1,1,0,0,0,0
290,1987-02-27,1,1,1,1,1,1,0,1,0,0,0,0
291,1987-03-02,1,1,1,1,1,1,0,0,1,0,0,0
292,1987-03-03,0,1,1,0,1,1,1,1,1,1,0,0
293,1987-03-04,0,0,0,0,0,1,1,1,1,1,0,0
294,1987-03-05,0,0,0,0,0,0,1,1,1,1,1,1
295,1987-03-06,0,0,0,0,0,0,1,1,1,1,1,1
296,1987-03-09,0,0,0,0,0,0,1,1,1,1,1,1
297,1987-03-10,0,0,0,0,0,0,1,1,1,1,1,1
298,1987-03-11,0,0,0,0,0,0,1,1,1,1,1,1
299,1987-03-12,0,0,0,0,0,0,1,1,1,1,1,1
300,1987-03-13,0,0,0,0,0,0,0,1,1,1,1,1
301,1987-03-16,0,0,0,0,0,0,1,1,1,1,1,1
302,1987-03-17,0,0,0,0,0,0,1,1,1,1,1,1
303,1987-03-18,0,0,0,0,0,0,0,1,1,1,1,1
304,1987-03-19,0,0,0,0,0,0,0,0,1,1,1,1
305,1987-03-20,0,0,0,0,0,0,1,0,0,1,1,1
306,1987-03-23,0,0,0,0,0,0,0,0,0,1,1,1
307,1987-03-25,1,1,1,1,0,0,0,0,0,0,1,1
308,1987-03-26,1,1,1,0,1,0,1,1,0,0,1,1
309,1987-03-27,1,1,1,0,0,1,1,1,1,0,1,1
310,1987-03-30,0,1,1,0,0,0,1,1,1,1,1,1
311,1987-03-31,0,0,0,0,0,0,1,1,1,1,0,1
312,1987-04-01,0,0,0,0,0,0,0,1,1,1,1,1
313,1987-04-02,0,0,0,0,0,0,1,1,1,1,1,1
314,1987-04-03,1,0,0,1,0,0,0,0,0,1,0,0
315,1987-04-06,0,1,0,0,0,0,1,0,0,1,1,0
316,1987-04-07,1,1,1,1,0,0,0,1,0,1,1,1
317,1987-04-08,1,1,1,1,1,0,0,0,1,0,1,0
318,1987-04-09,1,1,1,1,1,1,0,0,0,0,0,1
319,1987-04-10,1,1,1,1,1,1,0,0,0,0,0,0
320,1987-04-13,1,1,1,1,1,1,0,0,0,0,0,0
321,1987-04-14,1,1,1,1,1,1,1,0,0,0,0,0
322,1987-04-15,1,1,1,1,1,1,1,1,1,0,0,0
323,1987-04-16,0,0,1,0,1,1,1,1,1,0,0,0
324,1987-04-20,0,0,0,0,0,0,1,1,1,1,0,0
325,1987-04-21,0,0,0,0,0,0,1,1,1,1,1,1
326,1987-04-22,0,0,0,0,0,0,1,1,1,1,1,1
327,1987-04-23,0,0,0,0,0,0,1,1,1,1,1,1
328,1987-04-24,0,0,0,0,0,0,0,0,1,1,1,1
329,1987-04-27,0,0,0,0,0,0,0,0,0,1,1,1
330,1987-04-28,1,1,0,0,0,0,0,0,0,1,1,1
331,1987-04-29,1,1,1,1,0,0,0,0,0,0,1,1
332,1987-04-30,1,1,1,0,1,1,1,1,0,0,1,1
333,1987-05-01,1,1,1,0,0,1,1,1,1,0,1,1
334,1987-05-04,0,0,1,0,0,0,1,1,1,0,0,1
335,1987-05-05,0,0,0,0,0,0,1,1,1,1,1,1
336,1987-05-06,0,0,0,0,0,0,1,1,1,1,1,1
337,1987-05-07,0,0,0,0,0,0,0,0,1,1,1,1
338,1987-05-08,0,0,0,0,0,0,1,1,1,1,1,1
339,1987-05-11,0,0,0,0,0,0,1,1,1,1,1,1
340,1987-05-12,0,0,0,0,0,0,0,1,1,1,1,1
341,1987-05-13,0,0,0,0,0,0,1,0,1,1,1,1
342,1987-05-14,0,0,0,0,0,0,1,1,1,1,1,1
343,1987-05-15,0,0,0,0,0,0,1,1,1,1,1,1
344,1987-05-18,0,0,0,0,0,0,1,1,1,1,1,1
345,1987-05-19,0,0,0,0,0,0,1,1,1,1,1,1
346,1987-05-20,0,0,0,0,0,0,0,0,0,1,1,1
347,1987-05-21,0,0,0,0,0,0,1,0,1,1,1,1
348,1987-05-22,1,0,0,0,0,0,0,0,0,1,1,1
349,1987-05-26,1,1,1,1,1,0,0,0,0,0,0,1
350,1987-05-27,1,1,1,1,1,1,1,0,0,0,0,1
351,1987-05-28,1,1,1,1,1,1,0,0,0,0,0,0
352,1987-05-29,1,1,1,1,1,1,1,0,1,0,0,0
353,1987-06-01,1,1,1,1,1,1,1,1,1,0,0,1
354,1987-06-02,0,0,1,0,1,1,1,1,1,1,0,1
355,1987-06-03,0,0,0,0,0,0,1,1,1,1,1,1
356,1987-06-04,0,0,0,0,0,0,0,1,1,1,0,0
357,1987-06-05,0,0,0,0,0,0,1,0,1,1,1,0
358,1987-06-08,0,0,0,0,0,0,1,1,1,1,1,1
359,1987-06-09,0,0,0,0,0,0,0,1,1,1,1,0
360,1987-06-10,0,0,0,0,0,0,0,0,1,1,1,1
361,1987-06-11,0,0,0,0,0,0,1,1,0,0,1,1
362,1987-06-12,0,0,0,0,0,0,1,1,1,1,1,1
363,1987-06-15,0,0,0,0,0,0,1,1,1,1,1,1
364,1987-06-16,0,0,0,0,0,0,1,1,1,1,1,1
365,1987-06-17,0,0,0,0,0,0,1,1,1,1,1,1
366,1987-06-18,0,0,0,0,0,0,1,1,1,1,1,1
367,1987-06-19,0,0,0,0,0,0,1,1,1,1,1,1
368,1987-06-22,0,0,0,0,0,0,0,0,1,1,1,1
369,1987-06-23,1,1,0,1,0,0,0,0,0,0,1,1
370,1987-06-24,1,1,1,1,1,0,1,0,0,0,1,1
371,1987-06-25,1,1,1,1,1,1,1,1,0,0,1,1
372,1987-06-26,0,1,1,0,0,1,1,1,1,0,1,1
373,1987-06-29,0,0,1,0,0,0,1,1,1,0,1,1
374,1987-06-30,1,1,0,1,0,0,0,0,1,0,0,1
375,1987-07-01,0,0,0,0,0,0,1,1,1,1,0,1
376,1987-07-02,0,0,0,0,0,0,1,1,1,1,0,1
377,1987-07-03,0,0,0,0,0,0,1,1,1,1,1,1
378,1987-07-06,0,0,0,0,0,0,1,1,1,1,1,1
379,1987-07-07,0,0,0,0,0,0,0,1,1,1,1,1
380,1987-07-08,0,0,0,0,0,0,1,1,1,1,1,1
381,1987-07-09,0,0,0,0,0,0,1,1,1,1,1,1
382,1987-07-10,0,0,0,0,0,0,1,1,1,1,1,1
383,1987-07-13,0,0,0,0,0,0,1,1,1,1,1,1
384,1987-07-14,0,0,0,0,0,0,1,1,1,1,1,1
385,1987-07-15,0,0,0,0,0,0,1,1,1,1,1,1
386,1987-07-16,0,0,0,0,0,0,1,1,1,1,1,1
387,1987-07-17,0,0,0,0,0,0,1,1,1,1,1,1
388,1987-07-20,0,0,0,0,0,0,0,0,1,1,1,1
389,1987-07-21,1,0,0,0,0,0,0,0,0,1,1,1
390,1987-07-22,1,1,1,0,0,0,0,0,0,1,1,1
391,1987-07-23,1,1,1,1,1,1,0,0,0,0,0,1
392,1987-07-24,1,1,1,1,1,1,0,0,0,0,0,0
393,1987-07-27,1,1,1,1,1,1,0,0,0,0,0,0
394,1987-07-28,1,1,1,1,1,1,1,1,1,0,0,1
395,1987-07-29,0,1,1,1,1,1,1,1,1,0,0,1
396,1987-07-30,0,0,0,1,1,1,0,1,1,0,0,0
397,1987-07-31,0,0,0,1,1,1,0,0,1,1,0,0
398,1987-08-03,0,0,0,0,0,0,1,1,1,1,1,0
399,1987-08-04,0,0,0,0,0,0,0,1,1,1,1,0
400,1987-08-05,0,0,0,1,0,0,0,0,0,1,1,0
401,1987-08-06,1,1,0,1,1,0,0,0,0,0,1,0
402,1987-08-07,1,1,1,1,1,1,0,0,0,0,1,0
403,1987-08-10,1,1,1,1,1,1,0,0,0,0,0,0
404,1987-08-11,1,1,1,1,1,1,1,1,0,0,0,1
405,1987-08-12,1,1,1,1,1,1,0,1,0,0,0,1
406,1987-08-13,1,1,1,1,1,1,0,0,1,0,0,0
407,1987-08-14,1,1,1,1,1,1,0,0,0,0,0,0
408,1987-08-17,1,1,1,1,1,1,0,0,0,0,0,0
409,1987-08-18,1,1,1,1,1,1,0,0,0,0,0,0
410,1987-08-19,1,1,1,1,1,1,0,0,0,0,0,0
411,1987-08-20,1,1,1,1,1,1,0,0,0,0,0,0
412,1987-08-21,1,1,1,1,1,1,0,0,0,0,0,0
413,1987-08-24,1,1,1,1,1,1,0,0,0,0,0,0
414,1987-08-25,1,1,1,1,1,1,1,1,0,0,0,0
